ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Madeiran sardinella,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N
Mediterranean dealfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,,59,,2,,1,,0,,0,,0,,0,N,0,,0,...,0,...
Mediterranean horse mackerel,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",225,,413,,514,,1026,,637,,615,,782,E,297,,665,,755.66,,449.55,
"Needlefishes, etc. nei","Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.02,
Ocean sunfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",4,,0,N,6,,0,N,0.03,,0,...,0,...,0,...,0,N,0,,0.01,
Opah,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",1,,0,N,0,N,0,N,0,...,0,...,0,...,0,...,0,...,0.3,,0.39,
Pacific herring,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,,0,,432,,222,,237,,528,,717,,463,,359,,234,,122,
Pelagic percomorphs nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,
Pilotfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.04,
Pompanos nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,34.84,,34.15,
Round sardinella,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N
Sand smelt,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,17.56,,19.46,
Sardinellas nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,N,0,N,2,,8,,1,,9,,48,,355,,83,,14.43,,87.27,
Sauries nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3.11,
Scomber mackerels nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,1518,,795,,293,,0,...,17,,0,...,26,,19350.4,,2.6,
Silversides(=Sand smelts) nei,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",282,,256,,261,,198,,240,,179,,160,,140,,162,,148.19,,92.36,
Sunfish,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.01,
Vadigo,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1.04,
African pompano,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",1,,0,...,0,N,1,,2,,2,,1,,2,,1,,1,,2,
Amberjacks nei,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",36,,20,,24,,20,,14,,18,,1,,0,N,0,N,0,N,0,N
American harvestfish,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",49,,48,,110,,137,,94,,95,,70,,39,,56,,39,,25,
Atlantic butterfish,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",574,,660,,639,,1088,,3128,,2096,,1192,,3675,,1682,,3431,,2385,
Atlantic chub mackerel,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",80,,0,...,29,,1923,,557,,636,,253,,1,,6,,26,,26,
Atlantic herring,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",216147,,214619,,200968,,219585,,206294,,193732,,181101,,149826,,142794,,84728,,91025.1,
Atlantic mackerel,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",48588,,12059,,11794,,12701,,12435,,9774,,13386,,16434,,19508,,9237,,15837.3,
Atlantic menhaden,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",229572,,227072,,224460,,167580,,174032,,200163,,168790,,180074,,188317,,198200,,178196,
