ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Blue jack mackerel,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,14.71,,26.77,,11.49,,8.96,,8.81,,9.78,,18.46,,16.57,
Blue mackerel,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",8026,,14073,,10107,,8747.22,,8264.83,,11066.03,,9455.43,,9738.89,,13545.96,,13873.72,,8535.59,
Bluefish,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,N,0,N,0,N,0.23,,0.32,,0.13,,0.54,,0.4,,0.32,,0.03,,0.04,
"Butterfishes, pomfrets nei","Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,219,,0,,0,,0,,0,...,0,,0,
Carangids nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2780.01,,3042.27,
Clupeoids nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,N,8,,24,,18.09,,77.02,,114.92,,122.61,,158.35,,116.26,,124.61,,241.31,
Common dolphinfish,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",200,,350,,89,,15,,87,,10,,6,,3,,4,,1.75,,1.47,
Dealfishes,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",3,,2,,5,,4,,2,,3,,2,,6,,7,,0,...,0,...
Flyingfishes nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",3,,1,,0,,0,,0,,0,,1,,0,,0,,0,,0,...
Greenback horse mackerel,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",18,,11,,13,,0,...,21977,,14515,,0,,0,,4370.75,,4218.68,,7517.58,
Halfbeaks nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",12,,13,,8,,13,,16,,15,,28,,26,,21,,0,...,0,...
Jack and horse mackerels nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",41288,,38795,,42854,,45029,,50427,,44592,,38965,,48015,,48313,,43134,,37356.13,
King of herrings,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Mackerels nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5053.35,
Mediterranean dealfish,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,15.6,,9.15,
"Needlefishes, etc. nei","Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Opah,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",113,,107,,96,,81,,70,,1,,66,,57,,70,,45,,51.92,
Opahs nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,
Pacific sardine,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",495,,263,,332,,368,,326,,216,,341,,443,,442,,397.32,,215.11,
Pelagic percomorphs nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,,0,
Scads nei,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",46,,14,,0,,9,,31,,7,,10,,14,,5,,2,,2.73,
Swallowtail dart,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,
White trevally,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",3430,,3769,,3565,,3876.84,,3238.25,,3920.07,,3722.14,,4092.06,,3473.01,,44.06,,122.73,
Yellowtail amberjack,"Pacific, Southwest",Tonnes - live weight,"TLW, Number",266,,282,,245,,148.19,,126.94,,126.19,,105.3,,72.59,,90.89,,76.74,,111.52,
[Hemiramphus spp],"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0.39,,0.06,
Amberjacks nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",1,,0,N,2,,1.8,,4.4,,0.42,,1.3,,1.19,,0.98,,1.79,,0.17,
"Anchovies, etc. nei","Pacific, Western Central",Tonnes - live weight,"TLW, Number",107565,,110014,,97192,,83868,,97865,,82330,,112641,,105947,,111414,,111936,,111900.42,
Bali sardinella,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,N,0,N,26144,,19521,,14472,,35444,,28525,,21788.85,,283555,,263746.71,,355727.45,
Barracudas nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",24232.81,,24991.65,,27897.65,,29096.53,,25358.75,,28006.28,,31339.44,,27868.35,,23349.28,,24388.48,,22005.21,
Bigeye scad,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",173840.59,,175857.28,,172678.72,,192194.89,,177215.82,,185493.16,,178648.59,,168122.66,,169830.85,,196903.85,,187935.14,
Black jack,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0.41,,0.38,,0.12,,0.33,,0.07,,0.03,,0.06,,0.18,,0.09,,0.07,,0.08,
Black pomfret,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",54574,,44902,,44015,,49430,,52048,,46717,,46532,,63780.57,,54613,,56649.26,,61395.44,
Blackbanded trevally,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",724,,674,,2045,,2360,,2000,,536,,80,,180,,124,,120,,66.6,
Blue jack mackerel,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,,0.01,,0,,0,,0,,0,,0,,0,
Blue mackerel,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",447,,249,,314,,1937.14,,1707.53,,1596.52,,2278.77,,1506.02,,1657.93,,1387.23,,1368.05,
Bluefish,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,,109,,55,,58.24,,42.63,,56.46,,55.44,,68.46,,58.12,,54.6,,43.54,
Bluestripe herring,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",15,,12,,15,E,15,E,15,E,15,E,16,E,16,E,16,E,16,E,16,E
"Butterfishes, pomfrets nei","Pacific, Western Central",Tonnes - live weight,"TLW, Number",3619,,3741,,3898,,3488,,3423,,4065,,2864,,3886,,3518.88,,3081.12,,2486.79,
Carangids nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",120057.46,,115080.14,,112259.22,,114700.65,,108787.49,,114352.39,,116012.92,,127021.09,,127851.93,,111210.81,,115880.48,
Clupeoids nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",30337,,33131,,32681,,38678,,32547,,40678,,42483,,29516,,26732,,31251.22,,39725.35,
Cobia,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",4140,,4022,,3436,,3778,,3341,,3245,,2948,,3324,,2847,,2381.72,,1489.62,
Common dolphinfish,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",5022.61,,5330.12,,5061.08,,6016.89,,8976.18,,13058.37,,10042.59,,10636.57,E,12322.36,,13483.32,,13023.96,
Dorab wolf-herring,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",3297,,2881,,2789,,2368,,2543,,2269,,4794,,5414,,2974,,3415,,3203.5,
False trevally,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",26074,,26451,,21121,,20446,,22412,,15857,,13962,,10221.81,,14873,,712.96,,474.75,
Flyingfishes nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",35093,,34434,,31488,,30867,,33132,,36563,,39270,,25031,,27226,,26944,,25199.42,
Giant trevally,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0.03,,0.04,,0,...,0.01,,0,,0,...,0,...,0,...,0,...,0,...,0.03,
Goldstripe sardinella,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",189548,,186569,,133373,,149560,,138676,,114643,,167702,,53750.5,,98234,,113848.75,,113358.4,
Great barracuda,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",5061,,6447,,4746,,7263,,9084.07,,12381,,20000.01,,38431,,24438,,7018.65,,7061.7,
Greater amberjack,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0.36,,0.17,,0.41,,0.3,,0.45,,0.04,,0.28,,0.43,,0.36,,0.47,,0.4,
Halfbeaks nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",21759,,23398,,18571,,20196,,26635,,29719,,34963,,31053.34,,24543,,17595.47,,11158.42,
Indian mackerel,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",126774,,132469,,148088,,217993,,191089,,179660,,162170,,171996,,193180,,145102.46,,137860.36,
Indian mackerels nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",123559,,165432,,145350,,161142,,153048,,80618,,53918,,43577,,33503,,41439.11,,42506.58,
Indian scad,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",69163,,74691,,97563,,105567,,95021,,96895,,98007,,77139,,77224,,66495.41,,66279.18,
Island trevally,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.03,,0,...,0.02,
"Jacks, crevalles nei","Pacific, Western Central",Tonnes - live weight,"TLW, Number",47744,,60556,,60525,,67050,,77145,,93551,,94773,,72107.17,,96012.3,,111571.38,,140755.44,
Japanese scad,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,,0,
Mackerels nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",2445,,2560,,2488,,1029.28,,1071.33,,1110.18,,1161.62,,2524.7,,2804.92,,2381.07,,1783.35,
Needlefishes nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",17483,,15565,,15771,,12067,,13119,,19299,,21237,,20483,E,20800,,21941.06,,20749.33,
Orangespotted trevally,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0.03,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Pacific chub mackerel,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",2380,,2277,,1393,,1439,,1403,,965,,1026,,1050,,775,,835,,770.22,
Pelagic percomorphs nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.43,,0.47,,0.02,,0.09,,0.22,,2.89,,0.96,,0.23,
Pickhandle barracuda,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",700,,753,,1581,,863,,1047,,166,,344,,201.17,,222,,9.27,,39.75,
"Pomfrets, ocean breams nei","Pacific, Western Central",Tonnes - live weight,"TLW, Number",0.06,,0.08,,0.04,,0.05,,0.04,,0.01,,0.01,,0.01,,0.13,,0.01,,0.48,
Queenfishes,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",20827,,20314,,19613,,26493,,20862,,19238,,22737,,19007.16,,23273,,25484.3,,28006.22,
Rainbow runner,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",16974.14,,19673.67,,14366.82,,14426.86,,15914.49,,13695.1,,14242.99,,9553.71,,10495.31,,16634.51,,12200.43,
Rainbow sardine,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",27626,,22850,,28601,,34511,,31016,,29851,,43719,,17493.94,,14726,,15921.45,,21359.43,
Sardinellas nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",526226,,384865,,406366,,384185,,416996,,448974,,425249,,390692,,154961,,160479,,120072.25,
Scads nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",578527,,569901,,584619,,567374,,585051,,259547,,269803,,431500.38,,529515.64,,560224.59,,657313.43,
Short mackerel,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",259351,,255845,,215949,,186215,,210615,,260628,,223252,,326082,,230381,,44579.62,,45248.12,
Sickle pomfret,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0.14,,1.18,,0.22,,0.19,,0.22,,0,...,0.25,,0.1,,0.01,,0.16,,0.43,
Silver pomfret,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",35669,,28078,,25443,,25282,,28341,,24816,,27742,,25392.04,,28731,,65665.24,,40777.03,
Silver-stripe round herring,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Silversides(=Sand smelts) nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",617,,561,,507,,551,,497,,531,,613,,536,,487,,609,,593.87,
Spotted sardinella,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",3690,,5968,,35708,,34945,,34916,,22374,,37378,,30022,E,40272,,18454.74,,21215.43,
Stolephorus anchovies nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",214103,,216657,,208053,,192423,,204608,,200024,,199647,,245443.2,,185648,,120439.31,,96878.05,
Torpedo scad,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",59994,,56199,,50163,,59589,,56270,,74762,,82905,,64288,,66591,,50480.08,,51310.44,
White trevally,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,N,0,,0,,0,,0,,0,,0.01,,0.08,,0.03,,0.05,,0,
Wolf-herrings nei,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",15777,,16009,,14437,,13344,,13368,,20810,,10220,,15957.06,,13259.3,,16776.6,,14945.72,
Yellowstripe scad,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",128875,,134786,,131814,,140596,,141522,,92004,,75817,,140926.99,,78715,,107143.72,,101745.55,
Yellowtail amberjack,"Pacific, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,3.75,,1.34,,0.03,,0.29,,0,,0.21,,0,,0,
Totals - Tonnes - live weight,,,,27596451.09,,31888636.95,,28125223.8,,27924611.76,,26670488.49,,27425735.52,,25811283.68,,27597431.74,,30750129.48,,26740452.92,,27068208.02,
Totals - Number,,,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
FAO. 2022. Fishery and Aquaculture Statistics. Global capture production 1950-2020 (FishStatJ). In: FAO Fisheries and Aquaculture Division [online]. Rome. Updated 2022. www.fao.org/fishery/statistics/software/fishstatj/en
